LibraryName	DBS-ID	RS	OCLCRegistry	OCLC	LibraryID
Bibliothek in Borgholzhausen, Öffentliche Bibliothek der Evangelische-luth. Kirchengemeinde Borgholzhausen	RG010	57540004004			204165
Bibliothek in der Fachklinik St. Marienstift	BF494	34600007007			205565
Bibliothek in der Grundschule Langenbach	HE121	91775126126			208921
Bibliothek in der KultOurkate	WC579	120670440440			203149
Bibliothek in der Schloßscheuer	KW794	84165001015			207803
Bibliothek in der Schule	WB903	130755563044			203263
Bibliothek in der Zehntscheuer	GU372	81150052052			207609
Bibliothek J.J.W. Heinse	LN693	160700029029			210480
Bibliothek Johannstadt					61340
Bibliothek Jördenstorf	WG858	130725258049			203234
Bibliothek Kirchengemeinde	SL619	150880319319			202686
Bibliothek Kirchheimbolanden	HT191	73325007030			207391
Bibliothek Klein Oschersleben	WZ327	150830415415			204722
Bibliothek Klotzsche					61341
Bibliothek Kruyk-Stiftung	PA513	51130000000			204999
Bibliothek Kyritz	AJ501	120680264264			203218
Bibliothek KZ-Gedenkstätte Mittelbau-Dora					198582
Bibliothek Königswinter-Oberpleis	KW666	53820024024			206097
Bibliothek Langebrück					61342
Bibliothek Langenleuba-Niederhain	WN083	160775051023			202599
Bibliothek Laubegast					61343
Bibliothek Letschin	WH711	120640274274			203126
Bibliothek Lilienthal	HD104	33560005005			203793
Bibliothek Lohmen	WN010	146285221240			202452
Bibliothek Lorenz Zaleski	WK069	146265237490			202540
Bibliothek Lübbenau - Vetschau Ausleihstelle Lübbenau	WH802	120660196196			202561
Bibliothek Lübbenau - Vetschau Ausleihstelle Vetschau	WH826	120660320320			202562
Bibliothek Lützschena-Stahmeln					61049
Bibliothek Löbau	WB393	146265220290			202503
Bibliothek Löcknitz	WG652	130755556079			203249
Bibliothek Mamertus	HJ448	92775241113			208782
Bibliothek Markt Höchberg	HJ758	96790147147			210138
Bibliothek Markt Manching	HN259	91860137137			208851
Bibliothek Markt Stockstadt	HZ280	96710155155			206973
Bibliothek Marlow	WF465	130730055055			203283
Bibliothek Meyenburg	WH279	120705006280			203224
Bibliothek Mihla	WL165	160635006055			210540
Bibliothek Mockau					61050
Bibliothek Möglingen	KR594	81180051051			207646
Bibliothek Nauen	AE507	120630208208			203078
Bibliothek Neuburg-Steinhausen	WF726	130745456056			203453
Bibliothek Neunkirchen	LF865	59700036036			206514
