?item	?itemLabel	?isil	?gndId	?dbsId
http://www.wikidata.org/entity/Q113528719	Biblioteca dell'Istituto di ricerca su innovazione e servizi per lo sviluppo del CNR	IT-NA0457	
http://www.wikidata.org/entity/Q113610989	Biblioteca Centrale 'G. Marconi' del CNR	IT-RM0573	
http://www.wikidata.org/entity/Q1303266	Ehemals Reichsstädtische Bibliothek Lindau		812889-3	AJ148
http://www.wikidata.org/entity/Q28661924	Stadtbücherei Burgdorf		LD157
http://www.wikidata.org/entity/Q28662045	Stadtbücherei Olsberg		LS324
http://www.wikidata.org/entity/Q28662186	Stadtbücherei Alfeld		LD583
http://www.wikidata.org/entity/Q28662233	Stadtbücherei Neuötting		QJ001
http://www.wikidata.org/entity/Q28662326	Stadtbücherei Pocking		QH926
http://www.wikidata.org/entity/Q28662343	Katholische Pfarr- und Stadtbücherei St. Justina		SE638
http://www.wikidata.org/entity/Q28662348	Stadtbücherei Hofheim		NR550
http://www.wikidata.org/entity/Q28662412	Stadtbücherei Baunatal		LD364
http://www.wikidata.org/entity/Q28662428	Stadtbücherei Weilheim a.d.T.		KR910
http://www.wikidata.org/entity/Q28662454	Stadtbücherei Laichingen		LR393
http://www.wikidata.org/entity/Q28662462	Stadtbücherei Leonberg		KR466
http://www.wikidata.org/entity/Q28681498	Stadtbibliothek 'Johann Christoph Adelung'		WA406
http://www.wikidata.org/entity/Q28681505	Stadtbibliothek \"Ulrich Plenzdorf\" Seelow		WA625
http://www.wikidata.org/entity/Q28681521	Stadtbibliothek Lutherstadt Wittenberg		WA960
http://www.wikidata.org/entity/Q28681523	Stadtbibliothek Mitte, Tiergarten-Süd		KS173
http://www.wikidata.org/entity/Q28681566	Stadtbibliothek Zeulenroda-Triebes		WB186
http://www.wikidata.org/entity/Q28681585	Stadtbibliothek Bernau bei Berlin		WA583
http://www.wikidata.org/entity/Q28681603	Stadtbibliothek Eisenhüttenstadt		WB721
http://www.wikidata.org/entity/Q28681650	Stadtbibliothek Bad Lobenstein		WB137
